24-01-28.20:30:56.778 [main            ] INFO  Application            - Starting Application using Java 1.8.0_201 on Rayce with PID 24946 (/home/rayce/Udatabase/study/Gpt_Item/PlanetItemGpt-data/chatgpt-data-app/target/classes started by rayce in /home/rayce/Udatabase/study/Gpt_Item/PlanetItemGpt-data)
24-01-28.20:30:56.780 [main            ] INFO  Application            - The following 1 profile is active: "dev"
24-01-28.20:30:57.459 [main            ] INFO  TomcatWebServer        - Tomcat initialized with port(s): 8090 (http)
24-01-28.20:30:57.464 [main            ] INFO  Http11NioProtocol      - Initializing ProtocolHandler ["http-nio-8090"]
24-01-28.20:30:57.465 [main            ] INFO  StandardService        - Starting service [Tomcat]
24-01-28.20:30:57.465 [main            ] INFO  StandardEngine         - Starting Servlet engine: [Apache Tomcat/9.0.75]
24-01-28.20:30:57.538 [main            ] INFO  [/]                    - Initializing Spring embedded WebApplicationContext
24-01-28.20:30:57.538 [main            ] INFO  ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 732 ms
24-01-28.20:30:57.910 [main            ] INFO  Http11NioProtocol      - Starting ProtocolHandler ["http-nio-8090"]
24-01-28.20:30:57.918 [main            ] INFO  TomcatWebServer        - Tomcat started on port(s): 8090 (http) with context path ''
24-01-28.20:30:57.925 [main            ] INFO  Application            - Started Application in 1.55 seconds (JVM running for 2.186)
24-01-28.20:33:06.249 [http-nio-8090-exec-1] INFO  [/]                    - Initializing Spring DispatcherServlet 'dispatcherServlet'
24-01-28.20:33:06.249 [http-nio-8090-exec-1] INFO  DispatcherServlet      - Initializing Servlet 'dispatcherServlet'
24-01-28.20:33:06.250 [http-nio-8090-exec-1] INFO  DispatcherServlet      - Completed initialization in 0 ms
24-01-28.20:33:06.569 [http-nio-8090-exec-2] INFO  ChatGPTAIServiceController - 流式问答请求开始，使用模型：gpt-3.5-turbo 请求信息：[{"content":"请问有什么需要帮助的吗？","role":"system"},{"content":"你好","role":"user"}]
24-01-28.20:33:06.793 [OkHttp https://pro-share-aws-api.zcyai.com/...] INFO  OkHttpClient           - --> POST https://pro-share-aws-api.zcyai.com/v1/chat/completions
24-01-28.20:33:06.794 [OkHttp https://pro-share-aws-api.zcyai.com/...] INFO  OkHttpClient           - Content-Type: application/json; charset=utf-8
24-01-28.20:33:06.794 [OkHttp https://pro-share-aws-api.zcyai.com/...] INFO  OkHttpClient           - Content-Length: 219
24-01-28.20:33:06.794 [OkHttp https://pro-share-aws-api.zcyai.com/...] INFO  OkHttpClient           - Accept: text/event-stream
